modelo,precio_normal,precio_oferta,tienda
iphone 12 128gb,$749.990,$499.990,movistar
iphone 11 64gb,$549.990,$394.990,movistar
iphone 11 128gb,$729.990,$454.990,movistar
iphone 13 128gb,$879.990,$629.990,movistar
iphone 15 128gb,$979.990,$879.990,movistar
iphone 12 64gb,$749.990,$564.990,movistar
iphone 15 pro max 256gb,$1.469.990,$1.369.990,movistar
iphone 15 pro 128gb,$1.229.990,$1.119.990,movistar
iphone 15 plus 128gb,$199.990,$999.990,movistar
iphone 14 plus 512gb,$1.499.990,$1.399.990,movistar
iphone 13 pro 1tb,$1.649.990,$1.649.990,movistar
iphone 13 512gb,$1.199.990,$999.990,movistar
iphone 14 512gb,$1.369.990,$1.039.990,movistar
