modelo,precio_normal,precio_oferta,tienda
iphone 14 128gb,$739.990,$699.990,ripley
iphone 15 pro 128gb,$179.990,$1.049.990,ripley
iphone 15 128gb,$849.990,$819.990,ripley
iphone 13 128gb,$649.990,$619.990,ripley
iphone 15 pro max 256gb,$1.349.990,$1.299.990,ripley
iphone 11 64gb,$399.990,$379.990,ripley
iphone 15 plus 128gb,$199.990,$999.990,ripley
iphone 15 pro max 512gb,$1.699.990,$1.549.990,ripley
iphone 15 pro 512gb,$1.599.990,$1.499.990,ripley
iphone 13 256gb,$999.990,$749.990,ripley
